,2,4,5,7,8,10,11,12,13,14,15,16,17,18,24,26,28,30,31,41,43,44,46,47,49,50,51,52,53,54,58,60,62,63,77,85,251,252,253,254,255,1000,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013,1014,1015,1016,1017,1018,1019,1020,1021,1022,1023,1024,1025,1026,1027,1028,1029,1030,1031,1032,1033,1034,1035,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
18,0.742020,0.769411,0.881393,0.687541,0.620617,0.801482,0.786834,0.872322,0.881523,0.809612,0.694778,0.768071,0.884790,1.000000,0.744981,0.833943,0.880499,0.922506,0.811008,0.579276,0.664011,0.629796,0.586788,0.514978,0.703992,0.667598,0.651793,0.683190,0.653503,0.688608,0.744584,0.751982,0.645617,0.708854,0.838918,0.831473,0.662347,0.663993,0.663929,0.671126,0.693508,0.943778,0.649573,0.633005,0.556006,0.707766,0.465710,0.911782,0.754446,0.482476,0.770781,0.631510,0.465467,0.750687,0.594206,0.679725,0.748362,0.849716,0.474751,0.708262,0.671108,0.685904,0.497058,0.571286,0.606215,0.584548,0.510209,0.660743,0.595378,0.533322,0.436054,0.791065,0.579061,0.532194,0.835749,0.760028,0.843893,0.720724,0.433282,0.599489,0.414888,0.693240,0.438844,0.678839,0.563174,0.355243,0.505133,0.596064,0.366724,0.611628,0.534954,0.649459,0.464540,0.652456,0.453565,0.479359,0.474090,0.466242,0.457568,0.402248,0.577085,0.427119,0.476458,0.624197,0.459992,0.484317,0.361670,0.495766,0.389961,0.500902,0.605103,0.516351,0.589468
24,0.807093,0.888156,0.732474,0.632151,0.571655,0.918999,0.783510,0.774521,0.818309,0.902206,0.689744,0.741106,0.773459,0.744981,1.000000,0.762392,0.857852,0.754200,0.899900,0.810627,0.888374,0.738054,0.632395,0.573121,0.922162,0.783741,0.774589,0.818561,0.772531,0.742230,0.766967,0.859540,0.747735,0.904568,0.893290,0.786409,0.888846,0.892435,0.837533,0.777221,0.710749,0.790524,0.613760,0.709518,0.608780,0.855633,0.615106,0.674904,0.669302,0.573212,0.605305,0.813878,0.520067,0.598718,0.672168,0.582896,0.597936,0.750812,0.677099,0.622724,0.509989,0.561386,0.608738,0.642707,0.808041,0.654212,0.698173,0.631543,0.529166,0.610966,0.600663,0.642588,0.615860,0.449207,0.593925,0.713108,0.728338,0.803773,0.633324,0.705952,0.607339,0.856911,0.618135,0.677949,0.679565,0.588000,0.607283,0.818459,0.527218,0.605298,0.679365,0.593536,0.601829,0.755773,0.684189,0.625442,0.509587,0.562396,0.617949,0.646894,0.806455,0.656844,0.703831,0.630641,0.526565,0.604557,0.600048,0.639433,0.629079,0.451847,0.596251,0.713801,0.725564
26,0.718784,0.785112,0.733898,0.551851,0.479679,0.783917,0.893757,0.865056,0.868051,0.841963,0.596547,0.685002,0.748026,0.833943,0.762392,1.000000,0.822165,0.849180,0.822816,0.649913,0.734792,0.667240,0.518789,0.444645,0.744374,0.802863,0.754139,0.769679,0.674193,0.743057,0.874958,0.775833,0.729577,0.778137,0.817250,0.882260,0.654281,0.709037,0.754804,0.802579,0.857758,0.874942,0.533696,0.767857,0.616659,0.802122,0.396793,0.782171,0.604507,0.400792,0.610323,0.592933,0.349366,0.831841,0.493766,0.809810,0.607346,0.707795,0.508733,0.728282,0.722815,0.733572,0.408054,0.555154,0.651230,0.598620,0.478246,0.818234,0.703683,0.657611,0.397477,0.685844,0.515081,0.665099,0.774063,0.674724,0.807591,0.787250,0.467942,0.743860,0.545111,0.790954,0.388515,0.708628,0.549004,0.365041,0.526302,0.581630,0.318436,0.746912,0.476927,0.792862,0.510964,0.647318,0.506619,0.610891,0.617065,0.611377,0.398940,0.483935,0.637745,0.528569,0.467779,0.789561,0.623642,0.630864,0.367248,0.573606,0.452885,0.647635,0.679808,0.582620,0.691062
28,0.791077,0.844328,0.848708,0.712728,0.643927,0.899397,0.798414,0.848051,0.891852,0.905804,0.749062,0.819056,0.890590,0.880499,0.857852,0.822165,1.000000,0.860649,0.889792,0.687607,0.767887,0.712850,0.655754,0.586200,0.815880,0.729717,0.726495,0.766900,0.745037,0.749083,0.778708,0.847737,0.717277,0.809097,0.926498,0.856071,0.775788,0.763475,0.740448,0.720486,0.706709,0.910649,0.656460,0.664274,0.572236,0.778878,0.559134,0.815210,0.759245,0.542894,0.719204,0.734825,0.523285,0.678385,0.670156,0.637021,0.696625,0.862783,0.561550,0.665675,0.587770,0.620556,0.579983,0.606728,0.693499,0.614951,0.607863,0.646907,0.555166,0.558579,0.520963,0.732708,0.607401,0.487611,0.722627,0.760391,0.802146,0.793748,0.542833,0.643887,0.494584,0.769730,0.543651,0.716400,0.654748,0.474211,0.584000,0.712038,0.469807,0.620582,0.636472,0.629532,0.551848,0.742570,0.551267,0.550324,0.496664,0.514665,0.559948,0.510930,0.674124,0.526531,0.589184,0.628088,0.487931,0.529583,0.476295,0.579796,0.503743,0.475327,0.625806,0.619791,0.667120
30,0.794505,0.811021,0.868676,0.633023,0.570829,0.820270,0.839497,0.943200,0.929465,0.803599,0.636358,0.706434,0.860196,0.922506,0.754200,0.849180,0.860649,1.000000,0.842559,0.583587,0.674463,0.593831,0.529665,0.459261,0.701670,0.681530,0.642035,0.672843,0.617752,0.652148,0.739414,0.725647,0.623377,0.714063,0.857520,0.800704,0.672860,0.694563,0.704895,0.713486,0.723553,0.935122,0.671346,0.685867,0.630887,0.746358,0.462160,0.840957,0.725297,0.503419,0.751091,0.641655,0.451181,0.771638,0.573768,0.689693,0.757823,0.810236,0.521623,0.782967,0.709686,0.746347,0.484609,0.633321,0.650263,0.653959,0.530243,0.694413,0.653031,0.595902,0.464541,0.831846,0.626327,0.555691,0.807140,0.805371,0.919804,0.696399,0.411585,0.642764,0.445380,0.727417,0.431710,0.628280,0.518785,0.348670,0.459878,0.597942,0.337793,0.600543,0.506854,0.651777,0.429791,0.609936,0.492821,0.481998,0.467585,0.467260,0.438860,0.417148,0.612846,0.447779,0.487435,0.649541,0.478744,0.530882,0.374534,0.471968,0.389853,0.514299,0.564961,0.502950,0.577549
31,0.869392,0.950286,0.793620,0.622347,0.560896,0.950437,0.861021,0.871267,0.910753,0.893858,0.656169,0.717988,0.820456,0.811008,0.899900,0.822816,0.889792,0.842559,1.000000,0.725922,0.816352,0.671708,0.574256,0.509565,0.834537,0.770692,0.730250,0.768595,0.701267,0.703041,0.775284,0.808086,0.699268,0.843487,0.958410,0.803288,0.815761,0.850714,0.837820,0.802621,0.750251,0.860766,0.658902,0.750679,0.672618,0.870924,0.561673,0.728014,0.693856,0.569331,0.660780,0.764043,0.496261,0.675176,0.635393,0.636807,0.667249,0.779613,0.656993,0.720159,0.599487,0.656542,0.563299,0.690070,0.793591,0.710445,0.654008,0.684751,0.608949,0.654550,0.574155,0.729819,0.659231,0.506525,0.665213,0.785645,0.827327,0.765167,0.536133,0.724666,0.570591,0.855931,0.546916,0.648882,0.599887,0.491762,0.533270,0.735722,0.442056,0.611004,0.602838,0.628558,0.521527,0.685365,0.642025,0.579845,0.500225,0.536027,0.543436,0.568666,0.765278,0.592504,0.629787,0.664782,0.528630,0.615511,0.522632,0.567427,0.536522,0.490072,0.577215,0.626435,0.670817
41,0.640640,0.723875,0.546857,0.495257,0.436249,0.730699,0.664438,0.610633,0.649581,0.769159,0.585708,0.630074,0.590943,0.579276,0.810627,0.649913,0.687607,0.583587,0.725922,1.000000,0.906743,0.774107,0.585103,0.539088,0.870783,0.797675,0.823601,0.841637,0.786031,0.739508,0.724072,0.793061,0.792214,0.866941,0.709515,0.688593,0.789362,0.817836,0.790664,0.738874,0.666118,0.627379,0.436007,0.668639,0.516351,0.781030,0.546618,0.521775,0.495331,0.449357,0.420443,0.707142,0.402255,0.488603,0.556072,0.517745,0.408635,0.575936,0.653058,0.477195,0.388004,0.430908,0.518264,0.512472,0.750781,0.535343,0.631816,0.579487,0.442734,0.580371,0.527590,0.457131,0.462161,0.403617,0.448958,0.529662,0.557905,0.785561,0.764325,0.706128,0.731994,0.803359,0.589387,0.658842,0.700028,0.681100,0.671093,0.776797,0.540736,0.612830,0.641853,0.559164,0.709618,0.746996,0.715898,0.756904,0.570037,0.660499,0.588004,0.813977,0.808697,0.816859,0.703896,0.612266,0.587402,0.641394,0.647035,0.764949,0.801628,0.439989,0.607266,0.869027,0.821106
43,0.721647,0.811103,0.628669,0.540600,0.477936,0.813999,0.754764,0.703540,0.741506,0.850716,0.618830,0.674817,0.669331,0.664011,0.888374,0.734792,0.767887,0.674463,0.816352,0.906743,1.000000,0.768597,0.590510,0.534461,0.931110,0.850231,0.843793,0.875840,0.787110,0.763961,0.787295,0.842782,0.802560,0.949636,0.796624,0.759135,0.827886,0.881131,0.862796,0.810494,0.736058,0.714691,0.506496,0.736388,0.587313,0.865579,0.552348,0.600030,0.560616,0.488224,0.498142,0.740512,0.429856,0.571848,0.584524,0.587223,0.491339,0.646994,0.673496,0.567980,0.475184,0.520645,0.533057,0.578719,0.799248,0.605467,0.647192,0.649346,0.521923,0.638015,0.546891,0.546286,0.528266,0.467035,0.532371,0.612673,0.650718,0.826026,0.688608,0.759191,0.707636,0.884983,0.576321,0.684087,0.679517,0.615289,0.638960,0.782079,0.505721,0.649484,0.634052,0.616811,0.658298,0.750017,0.712489,0.728646,0.580546,0.652994,0.574166,0.737453,0.835716,0.757944,0.687623,0.669561,0.605098,0.671823,0.608086,0.716899,0.709970,0.489001,0.627177,0.795778,0.808715
44,0.551773,0.638331,0.572063,0.588819,0.521011,0.681013,0.615755,0.593313,0.634386,0.772592,0.704953,0.758627,0.620396,0.629796,0.738054,0.667240,0.712850,0.593831,0.671708,0.774107,0.768597,1.000000,0.728685,0.671389,0.804727,0.739396,0.844437,0.855361,0.949649,0.904943,0.761055,0.860782,0.892517,0.790081,0.680303,0.768768,0.680135,0.662986,0.643572,0.631603,0.631255,0.656927,0.397086,0.557898,0.378333,0.665978,0.479621,0.613663,0.534677,0.358342,0.461854,0.611755,0.388626,0.519436,0.554263,0.557124,0.418389,0.623855,0.454799,0.420510,0.395965,0.402215,0.486011,0.380852,0.574583,0.398041,0.499069,0.556903,0.392338,0.443773,0.386834,0.446216,0.363077,0.416228,0.529749,0.482718,0.533436,0.877605,0.756649,0.587012,0.553540,0.680683,0.518435,0.857629,0.839959,0.577699,0.854137,0.671283,0.546068,0.684662,0.652798,0.605935,0.834548,0.904922,0.500147,0.705510,0.618636,0.654858,0.558418,0.612640,0.609672,0.613165,0.559872,0.589253,0.546689,0.498553,0.485498,0.843302,0.658867,0.463532,0.775215,0.826946,0.844624
46,0.495262,0.542790,0.588239,0.768205,0.727385,0.609837,0.469197,0.504829,0.547612,0.642605,0.872931,0.817562,0.633605,0.586788,0.632395,0.518789,0.655754,0.529665,0.574256,0.585103,0.590510,0.728685,1.000000,0.924020,0.655233,0.510476,0.591913,0.622730,0.760663,0.680513,0.554071,0.709627,0.630506,0.612002,0.604979,0.625850,0.627970,0.539098,0.477170,0.438190,0.425731,0.584165,0.459357,0.365527,0.250689,0.500335,0.583884,0.594737,0.640189,0.432369,0.536781,0.615679,0.560318,0.381331,0.697957,0.374420,0.466440,0.672785,0.362609,0.322851,0.272214,0.283517,0.626651,0.333704,0.459261,0.316344,0.510440,0.356522,0.225304,0.254179,0.408820,0.439348,0.371997,0.216333,0.474640,0.476339,0.464355,0.660937,0.647622,0.373602,0.322034,0.506327,0.606325,0.694227,0.847810,0.555338,0.739527,0.648946,0.682194,0.450952,0.780509,0.398149,0.662740,0.815995,0.382079,0.438393,0.361061,0.384317,0.680247,0.437522,0.472214,0.408956,0.546621,0.365913,0.285885,0.272577,0.460819,0.598736,0.508574,0.240299,0.571755,0.617677,0.577218
