Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
cc_mid_anterior <-> rh_cuneus,1.21991615742445e-07,5.1718412809970365e-09,3.7789848318969215e-07,0.013332976294387507,0.0,0.0,0.0,0.0
lh_entorhinal <-> rh_superiorparietal,1.219694445098049e-07,7.560243857335579e-09,5.524153838070847e-07,0.013442455656456286,0.0,0.0,0.0,0.0
lh_fusiform <-> lh_temporalpole,1.219545437846235e-07,4.506281829583642e-10,3.2926707833861397e-08,0.010497618049407,0.0,0.0,0.0,0.0
lh_entorhinal <-> rh_rostralmiddlefrontal,1.21931138091759e-07,3.0778061175007766e-09,1.8561949103056304e-07,0.015733637283719897,0.0,0.0,0.0,0.0
rh_parsorbitalis <-> rh_pericalcarine,1.2189623631773715e-07,-1.2295899654595592e-08,7.691634603682134e-07,-0.015780898720256793,-0.0,0.0,0.0,-0.0
left_pallidum <-> rh_cuneus,1.2182261732019736e-07,5.941771125387791e-09,4.3415607203465583e-07,0.013377664968462205,0.0,0.0,0.0,0.0
lh_entorhinal <-> lh_medialorbitofrontal,1.214876834631022e-07,3.353033989288235e-09,2.101921489378801e-07,0.015227763594033418,0.0,0.0,0.0,0.0
left_cerebellum_cortex <-> left_pallidum,1.2133392367567798e-07,6.127959763927059e-09,3.7335994831816e-07,0.015984872156862125,0.0,0.0,0.0,0.0
rh_inferiorparietal <-> right_amygdala,1.2080550929775622e-07,3.6102119679100574e-09,2.6379263255415937e-07,0.01318593540750559,0.0,0.0,0.0,0.0
csf <-> lh_lingual,1.2055425712845746e-07,5.59373816014407e-09,4.0872583887014194e-07,0.013358951468669307,0.0,0.0,0.0,0.0
optic_chiasm <-> rh_insula,1.2049348789445135e-07,-5.851545163355279e-09,4.2756339984231756e-07,-0.013373022436209175,-0.0,0.0,0.0,-0.0
lh_middletemporal <-> rh_unknown,1.203093925414237e-07,3.2261405305846242e-09,2.357291236960945e-07,0.013128848880666476,0.0,0.0,0.0,0.0
optic_chiasm <-> right_vessel,1.2014598597873574e-07,-6.955523214569797e-09,5.082293770759133e-07,-0.013421707688236497,-0.0,0.0,0.0,-0.0
lh_lateraloccipital <-> rh_inferiortemporal,1.1991355864659007e-07,1.8724785923211373e-09,1.3681912908721633e-07,0.012753641871889945,0.0,0.0,0.0,0.0
cc_mid_anterior <-> left_putamen,1.1979398223456373e-07,3.1416982054590048e-09,2.2955905295180619e-07,0.013114504197389038,0.0,0.0,0.0,0.0
right_amygdala <-> third_ventricle,1.1923173329119715e-07,3.7090052337793823e-09,2.710113044531889e-07,0.013198775903327516,0.0,0.0,0.0,0.0
csf <-> rh_superiorparietal,1.1916224925852057e-07,-6.963736258298054e-09,3.6125014608746085e-07,-0.01875753136177219,-0.0,0.0,0.0,-0.0
lh_inferiorparietal <-> rh_inferiortemporal,1.1915502780246155e-07,2.077873493740963e-09,1.5182701844117675e-07,0.012840090077394947,0.0,0.0,0.0,0.0
lh_lingual <-> rh_postcentral,1.1908359806426567e-07,8.096070446759421e-09,5.915674080851654e-07,0.013458293015789912,0.0,0.0,0.0,0.0
cc_mid_anterior <-> lh_fusiform,1.1897383193216855e-07,1.0647778928226246e-09,7.780168198704181e-08,0.012127078533413172,0.0,0.0,0.0,0.0
lh_superiorparietal <-> rh_inferiortemporal,1.1895545400776778e-07,1.4864600869375264e-09,1.0861335096258357e-07,0.012531979535814888,0.0,0.0,0.0,0.0
lh_lateraloccipital <-> rh_lateralorbitofrontal,1.1871865565089809e-07,-7.73563667454265e-09,5.65231067039371e-07,-0.013447877066787831,-0.0,0.0,0.0,-0.0
lh_bankssts <-> rh_parsorbitalis,1.1857289124161619e-07,8.14377565799309e-09,4.2081198528146155e-07,0.018903317308297567,0.0,0.0,0.0,0.0
lh_lateralorbitofrontal <-> lh_superiorparietal,1.1821810246797536e-07,5.617537286109901e-09,4.104648043787654e-07,0.013360303234915901,0.0,0.0,0.0,0.0
lh_precentral <-> rh_inferiortemporal,1.1820334344683738e-07,2.182022899943875e-09,1.594370552715414e-07,0.012878073786439126,0.0,0.0,0.0,0.0
rh_lingual <-> rh_parsorbitalis,1.1818178263161513e-07,-7.179688792222281e-09,5.246088108550345e-07,-0.013429798848132226,-0.0,0.0,0.0,-0.0
rh_fusiform <-> rh_parsorbitalis,1.1725140838405948e-07,-6.893612172983043e-09,5.037056325452578e-07,-0.013419382105715399,-0.0,0.0,0.0,-0.0
rh_inferiorparietal <-> rh_lateralorbitofrontal,1.1708229005839048e-07,-7.582989400113176e-09,5.540773656135572e-07,-0.013443172625558233,-0.0,0.0,0.0,-0.0
rh_parsorbitalis <-> right_ventraldc,1.1675662146567294e-07,-7.784635616441986e-09,5.688113443169613e-07,-0.013449348726273517,-0.0,0.0,0.0,-0.0
rh_lateralorbitofrontal <-> right_choroid_plexus,1.1673029721452948e-07,-7.617037202892581e-09,5.56565186164732e-07,-0.013444237995727968,-0.0,0.0,0.0,-0.0
rh_lateralorbitofrontal <-> rh_supramarginal,1.1643850678850092e-07,-9.734363350511463e-09,7.112749493090485e-07,-0.01349605079149994,-0.0,0.0,0.0,-0.0
rh_lateralorbitofrontal <-> right_vessel,1.1634875362745944e-07,-7.954053700664377e-09,5.811904630048812e-07,-0.013454299753476746,-0.0,0.0,0.0,-0.0
left_pallidum <-> rh_lingual,1.1604898417375508e-07,8.613680572639662e-09,6.293883834063686e-07,0.013471750185309774,0.0,0.0,0.0,0.0
lh_parahippocampal <-> rh_lingual,1.16021776997418e-07,6.40254566700578e-09,4.678241586810225e-07,0.013399376215466491,0.0,0.0,0.0,0.0
lh_middletemporal <-> rh_parsorbitalis,1.1600529027698135e-07,6.7118600461926754e-09,3.468646766799959e-07,0.018807857669284726,0.0,0.0,0.0,0.0
left_inf_lat_vent <-> rh_lingual,1.156787442092257e-07,7.260605888633051e-09,5.305212985622845e-07,0.013432599063062467,0.0,0.0,0.0,0.0
left_amygdala <-> rh_middletemporal,1.1565586445636852e-07,9.193209234070493e-09,4.766603038829948e-07,0.01889040293757094,0.0,0.0,0.0,0.0
lh_parahippocampal <-> rh_middletemporal,1.156193484144097e-07,7.264736425244922e-09,3.771757110900042e-07,0.018763409524819436,0.0,0.0,0.0,0.0
lh_entorhinal <-> rh_lingual,1.1553512171106168e-07,9.37538204473977e-09,6.850447377511204e-07,0.013488890046235958,0.0,0.0,0.0,0.0
cc_central <-> left_cerebellum_white_matter,1.1551571370726835e-07,3.43098445534523e-09,3.787583590116354e-07,0.008825493718175053,0.0,0.0,0.0,0.0
lh_parstriangularis <-> rh_unknown,1.1521715963824412e-07,3.242481118726478e-09,2.369231053242475e-07,0.01313154196108383,0.0,0.0,0.0,0.0
rh_inferiortemporal <-> rh_pericalcarine,1.1430655855490139e-07,5.275120365490948e-09,3.8544492695216304e-07,0.013339709289352141,0.0,0.0,0.0,0.0
lh_isthmuscingulate <-> rh_fusiform,1.142404917697335e-07,3.2511564037694565e-09,2.3755699505149523e-07,0.013132961171600793,0.0,0.0,0.0,0.0
lh_frontalpole <-> rh_lingual,1.1380621247788828e-07,5.245079789554861e-09,2.7893959176259904e-07,0.018152859417979544,0.0,0.0,0.0,0.0
cc_mid_anterior <-> rh_lingual,1.1368434700054511e-07,-5.549756086397435e-09,4.0551213642775243e-07,-0.0133564235550612,-0.0,0.0,0.0,-0.0
rh_cuneus <-> rh_inferiortemporal,1.1358096845071303e-07,4.467075539766794e-09,3.264023350782743e-07,0.013278967099700396,0.0,0.0,0.0,0.0
rh_inferiortemporal <-> rh_paracentral,1.1349221811828654e-07,-2.167433259420294e-09,1.1339308759686261e-07,-0.017565272914650716,-0.0,0.0,0.0,-0.0
lh_superiorparietal <-> rh_fusiform,1.1332447323180762e-07,1.8375240199177174e-09,1.342650522750891e-07,0.012737138973989827,0.0,0.0,0.0,0.0
