Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
rh_pericalcarine <-> rh_superiortemporal,3.078718252121628e-09,-8.744815508425439e-11,9.036826510416448e-09,-0.00459363093089098
lh_parstriangularis <-> rh_inferiorparietal,3.0784781046441933e-09,-1.9364749570829535e-10,2.0011386417545702e-08,-0.006452467507301905
left_lateral_ventricle <-> left_putamen,3.064028379831756e-09,1.7424959386336466e-10,1.8006821844744452e-08,0.00622168394647974
cc_mid_anterior <-> optic_chiasm,3.0608213039451674e-09,6.106111005918254e-11,6.3100091432075505e-09,0.003743781473268639
brain_stem <-> right_accumbens_area,3.0575137408162476e-09,-1.3444382951906965e-10,1.389332412546913e-08,-0.005626836551208839
lh_entorhinal <-> lh_rostralmiddlefrontal,3.0460994119916376e-09,-5.3217764111429054e-11,3.91143514041397e-09,-0.0038254690169834933
rh_pericalcarine <-> right_vessel,3.038271285496715e-09,-7.794518621883893e-11,8.054796862244816e-09,-0.004317145565998227
left_cerebral_white_matter <-> left_lateral_ventricle,3.0322802020454856e-09,1.971545643346473e-10,2.0373804249070354e-08,0.006490940769814226
left_cerebellum_cortex <-> wm_hypointensities,3.0321483764089363e-09,-1.993362445560631e-10,2.0599257440657374e-08,-0.006514414441025098
lh_parsorbitalis <-> lh_superiorfrontal,3.0296743464392824e-09,4.208785995540532e-11,4.349327761634898e-09,0.0029330893164161735
left_inf_lat_vent <-> lh_isthmuscingulate,3.0205511267398125e-09,1.0220598932313676e-10,1.0561889990117882e-08,0.004970651500044856
rh_postcentral <-> rh_rostralmiddlefrontal,3.007299754871509e-09,9.17419887873314e-11,9.48054805264796e-09,0.0047094151837715394
rh_precentral <-> rh_rostralmiddlefrontal,3.0059402817049264e-09,1.0328238439275962e-10,1.0673123846240717e-08,0.004995973765790644
lh_superiortemporal <-> right_inf_lat_vent,2.9935290853729233e-09,-3.0129412406519095e-11,7.820407760558292e-09,-0.0016907251961542757
rh_lingual <-> rh_middletemporal,2.9912416380710206e-09,-1.777091333014744e-12,5.0549756232877755e-09,-0.00011804013354002725
right_cerebellum_cortex <-> right_hippocampus,2.989897919260227e-09,-1.3745371998327777e-10,1.4347898300607134e-08,-0.0056454038983664665
fourth_ventricle <-> rh_parsopercularis,2.97241637512452e-09,1.0111185995841613e-10,1.044882348529104e-08,0.0049446297011241985
lh_superiorfrontal <-> rh_inferiortemporal,2.969119712306633e-09,5.17005211842114e-11,5.3426929360566085e-09,0.0033697162160308157
rh_bankssts <-> rh_postcentral,2.966307432060252e-09,1.0687637874166165e-10,1.1044524516491023e-08,0.00507858367899501
rh_inferiortemporal <-> rh_postcentral,2.960974114252889e-09,1.228932042272135e-10,1.2699691203782408e-08,0.0054138711898748665
fourth_ventricle <-> rh_supramarginal,2.9577135587152974e-09,9.632246128467329e-11,9.953890632080674e-09,0.004827252141485219
rh_inferiortemporal <-> right_accumbens_area,2.950554907182733e-09,1.0825405989849928e-10,1.0585282194062703e-08,0.005258808641920021
lh_parstriangularis <-> rh_superiortemporal,2.9372297453182604e-09,3.808663347251312e-11,2.533887888501232e-09,0.0030386926874824164
rh_cuneus <-> rh_parstriangularis,2.935121301561594e-09,1.2101878716786084e-10,1.2505990356037655e-08,0.005377181152812291
lh_superiorparietal <-> rh_parsopercularis,2.92220375171866e-09,1.2289702572297585e-10,1.2700086114277452e-08,0.005413945352642452
lh_medialorbitofrontal <-> rh_superiortemporal,2.919826802644139e-09,1.1929259943578102e-10,1.2327607415377726e-08,0.005342829494288781
lh_entorhinal <-> lh_medialorbitofrontal,2.9169286824483774e-09,6.920257791694921e-11,7.151342302264862e-09,0.0040348199398837084
rh_lateraloccipital <-> rh_precuneus,2.9149645826542114e-09,9.193756634065156e-11,9.500758889766055e-09,0.004714563513161538
lh_cuneus <-> rh_parstriangularis,2.914799715449845e-09,1.3897808214287341e-10,1.4361890377967386e-08,0.005704733088716449
left_cerebral_white_matter <-> rh_lingual,2.906160537687162e-09,2.7113467725674006e-10,2.801885342196418e-08,0.0071315848020840275
rh_parstriangularis <-> rh_posteriorcingulate,2.900766246264961e-09,1.0337831564571347e-10,1.0683037309698415e-08,0.0049982173361568455
cc_posterior <-> optic_chiasm,2.8989203467185537e-09,1.5829738252621827e-10,1.635833233490405e-08,0.00600559172389669
lh_parahippocampal <-> optic_chiasm,2.8957425654178647e-09,1.4618509316080936e-10,1.5106657470709335e-08,0.00582256293301313
rh_precuneus <-> right_cerebellum_white_matter,2.8916546081459633e-09,6.301064239666089e-11,6.511472347242724e-09,0.003816173450284894
left_pallidum <-> lh_parstriangularis,2.8898339155688185e-09,2.3835497238034076e-10,2.4631423398480367e-08,0.006882621301404546
lh_isthmuscingulate <-> optic_chiasm,2.8845227390182405e-09,1.7665231408340305e-10,1.825511714337753e-08,0.006252046777473971
lh_bankssts <-> lh_supramarginal,2.878552093650197e-09,1.0610091315728132e-10,1.0964388486816162e-08,0.005061006822307496
cc_anterior <-> optic_chiasm,2.87695179173674e-09,1.275847555777038e-10,1.318451258827294e-08,0.005503016511213524
lh_paracentral <-> optic_chiasm,2.8706091732547134e-09,1.7198495844285106e-10,1.7772796125336108e-08,0.006192569076109534
lh_superiorparietal <-> optic_chiasm,2.8685043913212846e-09,2.1396084271775985e-10,2.2110552404450217e-08,0.006663256365782948
optic_chiasm <-> rh_precentral,2.8673234107478586e-09,1.7599371814240715e-10,1.818705833466384e-08,0.00624377741206055
left_cerebellum_white_matter <-> lh_cuneus,2.863208202698376e-09,1.131044162198276e-10,1.1688125220660608e-08,0.00521503887814525
lh_parsopercularis <-> rh_bankssts,2.857092106304993e-09,-2.5849485115876485e-10,2.6712663308986003e-08,-0.007041026933491208
lh_insula <-> lh_parsopercularis,2.8569936628709808e-09,-1.479912023140141e-10,1.529329943085888e-08,-0.005851004243972167
lh_medialorbitofrontal <-> right_choroid_plexus,2.8523169184859653e-09,-6.00470458208592e-11,6.2052165082649806e-09,-0.0037054145984556286
lh_cuneus <-> lh_fusiform,2.850790363989338e-09,1.0733757686255367e-10,1.109218438308759e-08,0.005088973949451176
lh_parsopercularis <-> rh_transversetemporal,2.8452058280761485e-09,-1.712275358537833e-10,1.7694524645213042e-08,-0.0061827216046251845
lh_parsopercularis <-> rh_fusiform,2.844375530946721e-09,-1.7616872987452146e-10,1.820514391530166e-08,-0.006245978762013961
rh_unknown <-> right_hippocampus,2.8425822594645172e-09,3.0296200072178537e-10,2.8095251376796944e-08,0.00795274974629288
lh_parsopercularis <-> right_hippocampus,2.833327725080578e-09,-2.465308656344737e-10,2.547631405208075e-08,-0.006949167979304608
lh_caudalanteriorcingulate <-> lh_entorhinal,2.832821286410967e-09,-2.3756802101900334e-11,3.937421113299854e-09,-0.001704533565340168
lh_middletemporal <-> rh_rostralmiddlefrontal,2.8285184737895738e-09,1.9253165354139843e-11,1.9896076128088605e-09,0.0016058211390980888
lh_cuneus <-> right_choroid_plexus,2.8221053439205555e-09,1.2285960912797666e-10,1.2696219511519594e-08,0.005413219107509009
lh_precuneus <-> right_caudate,2.820768863597557e-09,6.333467649625498e-11,6.544957787143305e-09,0.0038280349403774752
lh_cuneus <-> rh_unknown,2.8184341532282864e-09,1.1129792385256312e-10,1.150144365945864e-08,0.005176300048280821
lh_lateralorbitofrontal <-> right_caudate,2.811086321688233e-09,4.785604854551456e-11,4.945408027913339e-09,0.0032020570101622156
lh_superiortemporal <-> rh_parsopercularis,2.8041416313390208e-09,2.568577127938161e-11,2.654348266288393e-09,0.002029798037707668
right_amygdala <-> right_cerebellum_white_matter,2.7969934543240893e-09,-3.485315357170165e-11,4.464312891081453e-09,-0.0024095962133943985
lh_pericalcarine <-> right_choroid_plexus,2.7889253080897523e-09,1.2886889524704341e-10,1.3317214614928446e-08,0.005526770558801535
lh_precentral <-> rh_parsopercularis,2.780221920682393e-09,2.7097744772148094e-11,2.8002605440161926e-09,0.0021169682194332852
left_choroid_plexus <-> rh_paracentral,2.7675739832201535e-09,1.6429270262177466e-10,1.6977884199957765e-08,0.0060899031741722676
lh_parstriangularis <-> rh_parstriangularis,2.767373093894172e-09,1.3900922693415537e-11,1.1161416124792325e-09,0.0012505168769899482
lh_lingual <-> right_choroid_plexus,2.762431080221139e-09,1.2075066506406572e-10,1.2478282819689175e-08,0.005371881207860673
rh_lingual <-> right_choroid_plexus,2.7607490259749388e-09,1.28050009380728e-10,1.3232591566007697e-08,0.005511654135394944
lh_lateraloccipital <-> rh_temporalpole,2.755908947241796e-09,1.3855048976605323e-10,1.4317703303662874e-08,0.00569751542881864
left_cerebellum_cortex <-> lh_unknown,2.7190711757901545e-09,-1.263285586002199e-10,1.3054698138356944e-08,-0.005479514754090077
lh_cuneus <-> rh_inferiorparietal,2.7111687909263232e-09,6.874122677655417e-11,5.6576962647360415e-09,0.004390251644577614
lh_posteriorcingulate <-> rh_superiorfrontal,2.6985818270789214e-09,3.651843970790528e-11,3.773788066237474e-09,0.002651299666605141
rh_bankssts <-> wm_hypointensities,2.686065332039171e-09,3.856511082180697e-11,2.06272368570734e-09,0.0031970483471739715
rh_caudalmiddlefrontal <-> right_amygdala,2.68296312906693e-09,6.017363153738318e-11,4.399103452158343e-09,0.004178984597014163
lh_superiorparietal <-> rh_precentral,2.670578928036469e-09,-2.149432092986838e-11,2.2212069427340938e-09,-0.0017587723561662992
lh_insula <-> right_cerebellum_cortex,2.6696965989535972e-09,-1.8127739908419918e-10,1.3254538891163328e-08,-0.007795355561880618
