Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
lh_parstriangularis <-> right_cerebral_white_matter,3.459065427865453e-08,2.169650684997615e-09,1.1982268258250256e-07,0.016712416057331106
rh_parahippocampal <-> rh_pericalcarine,3.449168929562952e-08,1.5472854524891483e-09,1.2978227220543175e-07,0.011069253833670497
cc_anterior <-> rh_middletemporal,3.4422697655762786e-08,5.291328011619184e-10,8.05602331753411e-08,0.005842882494984536
left_cerebellum_cortex <-> lh_parsorbitalis,3.434988358871062e-08,8.953335756518361e-10,3.893677072721008e-08,0.0182957224669099
left_cerebellum_cortex <-> rh_superiorfrontal,3.422428061399801e-08,1.411146769640404e-09,8.422666575393884e-08,0.014976087271573818
lh_lateralorbitofrontal <-> lh_superiorfrontal,3.4173899227378176e-08,9.334061528692296e-10,5.500133772239898e-08,0.014359799129912134
brain_stem <-> lh_posteriorcingulate,3.4086447490306946e-08,8.316663406222272e-10,6.906463522962152e-08,0.010518815880284286
cc_anterior <-> rh_precuneus,3.394685550988521e-08,-8.842966502208229e-10,6.058729095722421e-08,-0.01252770347507323
rh_superiorparietal <-> rh_temporalpole,3.388572164770127e-08,-1.9608945987558497e-09,1.0819933862467062e-07,-0.016589725641210744
rh_rostralmiddlefrontal <-> rh_unknown,3.3807406936680496e-08,-3.694812437694094e-10,2.443847931270738e-08,-0.01072873283441047
lh_inferiortemporal <-> rh_pericalcarine,3.376714546695016e-08,7.446010024123029e-10,3.668934381505232e-08,0.015947986019290525
cc_mid_anterior <-> lh_bankssts,3.3578602611381504e-08,5.508683016192388e-10,4.9886911217417214e-08,0.009198475767423232
lh_frontalpole <-> lh_isthmuscingulate,3.354874430163258e-08,-1.6435720606389619e-09,1.2082293435422017e-07,-0.012563332788337982
rh_parstriangularis <-> rh_rostralanteriorcingulate,3.3446446436738615e-08,-7.01707847051008e-10,3.552339507713854e-08,-0.015414224836745528
lh_superiorfrontal <-> right_accumbens_area,3.337520164190591e-08,-5.576201805752986e-10,6.512538429143749e-08,-0.00742252683077262
cc_mid_anterior <-> rh_medialorbitofrontal,3.315858547703374e-08,-7.975421870985352e-10,4.8481561579509045e-08,-0.013637498137156116
left_accumbens_area <-> lh_parstriangularis,3.311402066776268e-08,-6.760457192807495e-10,4.754939267290529e-08,-0.011747225954637001
lh_precentral <-> rh_superiorfrontal,3.303349976678792e-08,7.046399019827732e-10,6.605797381691131e-08,0.009264510565046083
rh_precentral <-> rh_temporalpole,3.2702822672757984e-08,-1.3957090256733362e-09,8.864885981893523e-08,-0.014148252987769817
lh_bankssts <-> lh_superiortemporal,3.265110947889771e-08,6.25786941533617e-10,8.207303653694168e-08,0.0067966362908269875
lh_precuneus <-> rh_frontalpole,3.261273985182162e-08,-1.2933824830949308e-09,1.03335380419604e-07,-0.011411992250843588
rh_parsorbitalis <-> rh_pericalcarine,3.2489706827686775e-08,7.114769757114179e-10,1.3680354773995187e-07,0.004846456278915887
