ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
lh_parsorbitalis_Thickness,1.49879514119062e-07,-6.064183247879092e-06,0.00025471226679211855,-0.023807040209908835,-2e-06,-6e-05,0.0,5.8e-05
lh_bankssts_Surface_Area,1.4795297373100167e-07,8.123602294310759e-06,0.00014738295207177674,0.05511526962533979,1.2e-05,0.0,0.0,1.2e-05
left_putamen_Volume,1.4493196717564152e-07,1.7862175843632196e-07,1.7522669731796926e-05,0.010187938355581799,0.0,0.0,0.0,0.0
rh_isthmuscingulate_Thickness,1.414741674442043e-07,-6.573354303906585e-06,0.00013387114047551867,-0.04909843373427626,-9e-06,0.0,0.0,-9e-06
lh_lateraloccipital_Surface_Area,1.3920079585019156e-07,4.129133643739428e-06,0.0001048138576857869,0.039391162803000895,6e-06,0.0,0.0,6e-06
wm_hypointensities_Surface_Area,1.2453023959273884e-07,1.7078433138726467e-06,3.597538640847209e-05,0.04745935737598657,2e-06,0.0,0.0,2e-06
brain_stem_Surface_Area,1.2444260790473207e-07,-1.0295991521164747e-07,3.964500540760745e-06,-0.025905120443621903,-0.0,0.0,0.0,-0.0
rh_temporalpole_Volume,1.2296059616659995e-07,4.340572219886137e-06,0.00023671899873774782,0.018335616857378306,6e-06,0.0,0.0,6e-06
lh_inferiortemporal_Surface_Area,1.2137533566046397e-07,6.029578030444263e-06,0.00011895030839970187,0.05068562877447427,9e-06,0.0,0.0,9e-06
rh_transversetemporal_Thickness,1.1733697139741312e-07,2.2586480152360703e-06,9.437448020832698e-05,0.0239302903427634,3e-06,0.0,0.0,3e-06
lh_middletemporal_Thickness,9.329855941935383e-08,2.523856795626633e-06,0.00010221070513458372,0.024690269865617974,4e-06,0.0,0.0,4e-06
lh_precuneus_Surface_Area,9.230625369212823e-08,8.933449780772534e-07,2.762878676800593e-05,0.03232214878228195,1e-06,0.0,0.0,1e-06
lh_frontalpole_Volume,9.057697793599637e-08,-4.501720652340001e-07,2.8494103398216772e-05,-0.01579323716816727,-1e-06,0.0,0.0,-1e-06
rh_inferiorparietal_Thickness,8.439184851030565e-08,5.461819372261955e-06,0.00039908673605620876,0.013685452369855293,8e-06,0.0,0.0,8e-06
left_cerebral_white_matter_Surface_Area,8.142030416006372e-08,1.6662946528116807e-06,0.00010990497212043796,0.015159851480341179,0.0,1.8e-05,0.0,-1.8e-05
left_vessel_Volume,7.143386532613582e-08,5.638831452473523e-07,2.2223268213579876e-05,0.025362134789654434,1e-06,0.0,0.0,1e-06
cc_posterior_Surface_Area,6.923058102888836e-08,-3.740899373543072e-08,1.604932283957316e-06,-0.023164434885010618,-0.0,0.0,0.0,-0.0
optic_chiasm_Volume,6.361645792457467e-08,1.1747426960324304e-06,6.08913400392996e-05,0.01928927500239518,2e-06,0.0,0.0,2e-06
lh_superiortemporal_Surface_Area,6.02399040020528e-08,-5.807564724655298e-07,8.06350800474077e-05,-0.007201387513337809,-1e-06,0.0,0.0,-1e-06
left_accumbens_area_Volume,5.975795356244588e-08,4.442937346000908e-08,1.9726377219209618e-05,0.002251141279199179,0.0,0.0,0.0,0.0
right_inf_lat_vent_Surface_Area,5.967961438959429e-08,3.25388934337691e-07,0.00010345350830738213,0.003144963278946481,-1e-06,1.5e-05,0.0,-1.6e-05
left_choroid_plexus_Surface_Area,5.769091599977537e-08,4.4459340595099587e-07,2.214102534218647e-05,0.020071007959359375,1e-06,0.0,0.0,1e-06
left_thalamus_Surface_Area,5.6471846333254924e-08,6.636851913014895e-07,1.855190987965007e-05,0.0357552210739427,1e-06,0.0,0.0,1e-06
left_amygdala_Volume,5.4034686410192036e-08,-1.0651573810197957e-06,3.412840579926493e-05,-0.03120114592588066,-2e-06,0.0,0.0,-2e-06
optic_chiasm_Thickness,5.059761285375497e-08,1.0316018594497787e-08,4.425930298054809e-07,0.022793145088715768,0.0,0.0,0.0,0.0
lh_transversetemporal_Surface_Area,5.0471798738740273e-08,1.558136698102739e-06,6.759903698010234e-05,0.023046278540564128,2e-06,0.0,0.0,2e-06
left_cerebellum_cortex_Surface_Area,4.6780496291347086e-08,1.041606242580109e-06,3.5611073723378065e-05,0.029241292687269674,1e-06,0.0,0.0,1e-06
lh_temporalpole_Thickness,4.6000593343631045e-08,-5.247468156705188e-07,2.2480408496926296e-05,-0.02333202688347055,-1e-06,0.0,0.0,-1e-06
rh_cuneus_Thickness,4.4879537911375823e-08,-3.5506517500773577e-06,0.0001367684964568477,-0.025959137160113135,-5e-06,0.0,0.0,-5e-06
