ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score
rh_corpuscallosum,9.805888645581441e-07,2.5755149583512e-06,8.475661292460052e-05,0.030383601154880497
left_ventraldc,9.607984998034355e-07,-2.0283659716015326e-06,0.00010205537949688639,-0.0198732026628423
left_choroid_plexus,9.533340837312577e-07,5.889098945155726e-07,7.465722764083072e-05,0.00788712683090882
right_thalamus,8.864945619314666e-07,1.9426113381887398e-06,5.7434302580869526e-05,0.03381730216767712
rh_isthmuscingulate,8.578174089812098e-07,9.380940339005736e-07,0.0001708239441096474,0.005491262516882892
left_caudate,8.427930361322512e-07,1.2251627153557918e-07,7.323210090854232e-05,0.0016727574716700945
lh_parahippocampal,8.427109796552822e-07,-5.572091493561172e-06,0.0001727071325401461,-0.03226137101521185
left_lateral_ventricle,8.209245021915752e-07,-5.490799052519121e-07,7.478990903415245e-05,-0.0073406493716618145
lh_corpuscallosum,8.186479544981458e-07,2.53044059600858e-06,9.668081243452188e-05,0.026170434732071063
lh_unknown,7.103706456839118e-07,-1.697761985446738e-06,0.00010294203151466178,-0.016490806062481184
cc_posterior,6.874062172093974e-07,-2.938689194775094e-07,0.00010683141137898916,-0.0027505151390699433
left_thalamus,6.734909605138319e-07,-4.075316412828702e-07,4.5593952792305335e-05,-0.008936322759978653
wm_hypointensities,5.550786786809678e-07,-5.863371401734212e-07,6.007562186742079e-05,-0.009758360185855726
