ROI_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
left_accumbens_area_Volume,3.451125084712259e-06,-5.8484411471844245e-06,0.0003038899331020587,-0.019244627951992156,-5e-06,5.1e-05,-2.8e-05,-5.6e-05
lh_entorhinal_Thickness,3.2433170083967344e-06,-2.134639996192017e-05,0.0002312340115496273,-0.09231114708170082,-4e-06,0.0,-8.4e-05,-4e-06
left_putamen_Volume,3.2164958854800956e-06,2.095620550037242e-06,6.443810005688957e-05,0.03251640542060042,-1e-06,1e-05,9e-06,-1.1e-05
left_inf_lat_vent_Volume,3.200436726507682e-06,-2.33190409618531e-05,0.0006285836852329134,-0.03709716070916728,1e-05,2.2e-05,-0.000144,-1.2e-05
left_thalamus_Volume,3.1757791564248945e-06,-8.825800489077924e-06,0.00022258756087803794,-0.039649133864111,-0.0,-2e-06,-3.8e-05,2e-06
rh_inferiortemporal_Volume,3.1580625614735887e-06,4.545827627300602e-06,0.0008234071309346167,0.005520686243363526,-8e-06,4.5e-05,3.1e-05,-5.3e-05
rh_paracentral_Volume,3.1423245197882434e-06,-2.1781455263258255e-05,0.0016621667961579385,-0.01310417478670458,8e-05,0.000187,-0.000414,-0.000106
rh_precuneus_Volume,3.1026296973619395e-06,8.789465137214961e-05,0.0008972067404721851,0.09796367745645564,0.000107,0.000219,-1.9e-05,-0.000112
rh_middletemporal_Volume,3.069601282387996e-06,2.2490965513382125e-05,0.00048596777261998504,0.046279823441573636,-1.2e-05,3e-05,0.000127,-4.2e-05
rh_isthmuscingulate_Volume,3.0341786198013996e-06,2.7156634486131267e-05,0.0005432093848824652,0.049992020244283196,3.7e-05,9.4e-05,-2.7e-05,-5.7e-05
lh_lateralorbitofrontal_Volume,3.033146449081968e-06,-1.1349167462877845e-05,0.0005311969094578097,-0.021364871692767833,-2.3e-05,4.3e-05,5e-06,-6.6e-05
rh_superiorparietal_Volume,2.985589980937888e-06,5.0275037093489164e-05,0.0012142478115697041,0.041403923132680744,8.3e-05,0.000274,-0.00013,-0.000192
cc_posterior_Volume,2.865790844729697e-06,-1.4097765917595029e-05,0.0005848861777172239,-0.024103022817856035,1e-05,6.2e-05,-0.000118,-5.2e-05
optic_chiasm_Thickness,2.7573923039761193e-06,-4.825992580114875e-07,6.213606704139212e-06,-0.07754334117715361,-0.0,0.0,-2e-06,-0.0
right_inf_lat_vent_Volume,2.6148093029030875e-06,7.6258756110901606e-06,0.0004693903045703183,0.01624599629962057,-2e-05,6.1e-05,7.5e-05,-8.1e-05
right_vessel_Volume,2.582515034522017e-06,-1.7079836063257903e-07,0.00028036030831346304,-0.0006091884752704304,-1.3e-05,8e-06,3.6e-05,-2e-05
lh_precuneus_Volume,2.5470630133101933e-06,1.7580477724005277e-05,0.0009046142238752831,0.019434011670274514,5.5e-05,9.7e-05,-0.000127,-4.2e-05
rh_medialorbitofrontal_Volume,2.5329768528733647e-06,-8.222328787599777e-06,0.0004783387025960674,-0.017188985238124434,-1.2e-05,2.3e-05,-9e-06,-3.4e-05
lh_precentral_Volume,2.5247467700854726e-06,-5.265261125724679e-05,0.0011840507159000435,-0.04446783053453793,-3.8e-05,-2.1e-05,-0.000108,-1.8e-05
lh_medialorbitofrontal_Volume,2.455744571181115e-06,-7.219489577508877e-06,0.0004898577235015498,-0.014737630652422512,-1.7e-05,4.6e-05,3e-06,-6.3e-05
lh_temporalpole_Thickness,2.3258545878504064e-06,2.653193605033862e-05,0.0003235165902429254,0.08200851753921268,4e-06,4e-06,0.000106,-0.0
lh_superiorparietal_Volume,2.1421667092278873e-06,-1.3563419944669507e-05,0.0010853070241762172,-0.01249719634220654,-1.1e-05,-1.2e-05,-2.1e-05,1e-06
lh_lingual_Volume,2.112830977208698e-06,-9.86022669133078e-06,0.00013837330801545785,-0.07125300610843442,-0.0,0.0,-4.4e-05,-0.0
lh_inferiorparietal_Volume,2.090076530409843e-06,-1.9231305538531924e-05,0.0007975202097445325,-0.02411357626777819,-1e-05,-2.9e-05,-4.6e-05,1.9e-05
right_pallidum_Thickness,2.0883592487428286e-06,-9.923644298968805e-06,0.00014150889931576873,-0.07012239599762816,-1e-06,0.0,-4e-05,-1e-06
lh_unknown_Volume,2.073475555467728e-06,-7.019862796403189e-06,0.00036185596046790726,-0.019399069167285656,-1e-06,2.5e-05,-3.9e-05,-2.5e-05
rh_inferiorparietal_Thickness,2.0144058965952727e-06,5.876547569750847e-05,0.001846211719729079,0.03183012910612487,1e-06,0.00034,0.000141,-0.000339
rh_parsorbitalis_Volume,2.0140523238875815e-06,7.64237317733627e-06,0.00030295555560059335,0.025225221270405378,-1e-05,3.8e-05,5.1e-05,-4.8e-05
rh_inferiorparietal_Volume,2.0001269677344993e-06,2.73301717406662e-05,0.0006126678072279913,0.0446077390403926,4.9e-05,5.3e-05,-5e-05,-4e-06
left_accumbens_area_Thickness,1.945966513620773e-06,1.626689031871458e-05,0.00028548537354148337,0.05697777206309422,1e-06,4e-06,6.9e-05,-3e-06
lh_superiorparietal_Thickness,1.9345178808360744e-06,6.537789564792499e-05,0.0018184301069159006,0.03595273520380432,-2e-06,0.000327,0.000183,-0.000328
rh_lateralorbitofrontal_Volume,1.8076566536709177e-06,1.6677772259158309e-06,0.000422028341854048,0.003951719691128424,-3e-06,3.9e-05,3e-06,-4.2e-05
lh_lateraloccipital_Volume,1.7837423281085744e-06,-3.166009662734464e-06,5.318075655098519e-05,-0.0595218016818342,0.0,3e-06,-1.5e-05,-3e-06
rh_cuneus_Volume,1.7715473881566658e-06,2.3371666072072525e-05,0.0004337222655940343,0.053885006779615496,3.1e-05,2.7e-05,-2e-06,5e-06
