Edge_Name,Global_Saliency_Mean,Global_Contrib_Mean,Contrib_Std,Robustness_Z_Score,PD_Contrib_Mean,HC_Contrib_Mean,Prodromal_Contrib_Mean,Contrastive_Delta_C
lh_supramarginal <-> right_vessel,1.481029195528198e-06,-2.250224078847175e-08,2.904932667751242e-06,-0.007719643420042137,-0.0,0.0,0.0,-0.0
cc_mid_anterior <-> lh_postcentral,1.4805385828966952e-06,4.9040003370995936e-08,6.488932592984873e-06,0.007545855056864426,-0.0,0.0,0.0,-0.0
lh_precuneus <-> right_cerebellum_white_matter,1.4780072060500643e-06,-2.5113909739187473e-07,7.907236349072355e-06,-0.031720550747648214,-0.0,0.0,-1e-06,-0.0
rh_parsorbitalis <-> right_thalamus,1.4773486722749047e-06,4.9212652716170017e-08,1.955342281937768e-06,0.025040245237917452,0.0,0.0,0.0,0.0
rh_inferiorparietal <-> rh_medialorbitofrontal,1.4772299951385387e-06,1.6559833216915614e-07,8.337792520347134e-06,0.019837379973870018,0.0,0.0,0.0,0.0
rh_caudalmiddlefrontal <-> right_inf_lat_vent,1.4768814086418753e-06,-2.077548562281779e-08,2.3913699374756054e-06,-0.008651513995656007,-0.0,0.0,0.0,-0.0
brain_stem <-> rh_superiortemporal,1.476047176500165e-06,-1.210500250748369e-08,1.7361831268829846e-06,-0.006932264045576746,0.0,0.0,-0.0,0.0
cc_central <-> rh_medialorbitofrontal,1.475859253775426e-06,1.5822877188096318e-08,8.194332975854268e-07,0.019076732552404736,0.0,0.0,0.0,0.0
lh_parahippocampal <-> rh_temporalpole,1.4741831783498271e-06,-9.305328879573414e-08,6.289238259620833e-06,-0.014772149418798973,0.0,0.0,-0.0,0.0
left_caudate <-> rh_posteriorcingulate,1.4741377458534437e-06,2.0300303254457896e-08,9.007803296079669e-06,0.002251136178949822,0.0,-1e-06,0.0,1e-06
cc_mid_posterior <-> rh_lingual,1.4740598195298725e-06,-4.2790506884809615e-08,2.8899322390129306e-06,-0.014755691981056257,-0.0,0.0,-0.0,-0.0
